Row Labels,Weighted Return Tc
12/17/2001,0.030418442
12/18/2001,0.016312877
12/19/2001,0.010790765
12/20/2001,0.042794424
12/21/2001,0.009746965
12/24/2001,0.012409212
12/26/2001,0.000909242
12/27/2001,0.029185836
12/28/2001,0.012858458
12/31/2001,0.004622454
01/02/2002,0.032102685
01/03/2002,0.006826212
01/04/2002,0.000415159
01/07/2002,0.017456417
01/08/2002,-0.00482157
01/09/2002,-0.02360782
01/10/2002,-0.015805866
01/11/2002,5.11591E-05
01/14/2002,-0.003641585
01/15/2002,-0.004176495
01/16/2002,0.005104525
01/17/2002,0.016062931
01/18/2002,-0.0140494
01/22/2002,0.001738339
01/23/2002,0.022684521
01/24/2002,0.005646099
01/25/2002,-0.00565223
01/28/2002,0.020170859
01/29/2002,-0.006311413
01/30/2002,0.023194195
01/31/2002,-0.014563629
02/01/2002,0.004099594
02/04/2002,-0.001159137
02/05/2002,-0.013981938
02/06/2002,-0.007612645
02/07/2002,-0.017952321
02/08/2002,0.033591184
02/11/2002,-0.013749552
02/12/2002,0.004487723
02/13/2002,0.012480981
02/14/2002,0.040526863
02/15/2002,-0.000615108
02/19/2002,-0.010915095
02/20/2002,0.005720928
02/21/2002,0.002186669
02/22/2002,-0.034054694
02/25/2002,-0.002490628
02/26/2002,0.030257095
02/27/2002,0.017881118
02/28/2002,-0.005757845
03/01/2002,0.015967618
03/04/2002,0.033187496
03/05/2002,0.007888394
03/06/2002,0.015246752
03/07/2002,-0.026149877
03/08/2002,0.023171214
03/11/2002,-0.008613731
03/12/2002,-0.017534562
03/13/2002,0.004160813
03/14/2002,-0.010827533
03/15/2002,0.006810213
03/18/2002,0.020822489
03/19/2002,-0.00343097
03/20/2002,0.016347904
03/21/2002,-0.013311418
03/22/2002,-0.006601149
03/25/2002,0.005018474
03/26/2002,0.001823253
03/27/2002,0.017529538
03/28/2002,0.003071253
04/01/2002,0.004848834
04/02/2002,-0.01989583
04/03/2002,0.005586917
04/04/2002,0.001567116
04/05/2002,-0.029558503
04/08/2002,-0.011973806
04/09/2002,0.011657
04/10/2002,0.005921043
04/11/2002,-0.004232053
04/12/2002,-0.009161863
04/15/2002,-0.007226554
04/16/2002,0.005417665
04/17/2002,-0.003062688
04/18/2002,0.005984724
04/19/2002,0.032218134
04/22/2002,-0.010807622
04/23/2002,0.004661799
04/24/2002,0.013981046
04/25/2002,0.02631097
04/26/2002,-0.015581415
04/29/2002,-0.010511583
04/30/2002,0.014678375
05/01/2002,0.006598617
05/02/2002,0.01005342
05/03/2002,-0.021992418
05/06/2002,-0.00269405
05/07/2002,0.007585735
05/08/2002,0.021728192
05/09/2002,-0.00612964
05/10/2002,0.020328197
05/13/2002,0.008243756
05/14/2002,0.002290806
05/15/2002,-0.012553076
05/16/2002,-0.019199668
05/17/2002,0.012281202
05/20/2002,-0.003920164
05/21/2002,-0.001114765
05/22/2002,-0.002640857
05/23/2002,-0.005686035
05/24/2002,0.000702021
05/28/2002,0.002604822
05/29/2002,0.012126172
05/30/2002,-0.015630226
05/31/2002,-0.000173457
06/03/2002,0.000398614
06/04/2002,0.019068472
06/05/2002,0.004165556
06/06/2002,-0.010165391
06/07/2002,0.00125986
06/10/2002,-0.002343053
06/11/2002,-0.009437431
06/12/2002,-0.005926951
06/13/2002,0.010352854
06/14/2002,0.017417261
06/17/2002,0.021233956
06/18/2002,0.01482314
06/19/2002,0.007532327
06/20/2002,-0.010104285
06/21/2002,-0.01500399
06/24/2002,-0.001421845
06/25/2002,0.003452966
06/26/2002,0.00554465
06/27/2002,0.019161053
06/28/2002,0.023206291
07/01/2002,0.029783488
07/02/2002,0.008288465
07/03/2002,0.030278074
07/05/2002,0.029229969
07/08/2002,0.021208153
07/09/2002,0.041748573
07/10/2002,0.011168438
07/11/2002,0.022501812
07/12/2002,0.010338195
07/15/2002,-0.013348836
07/16/2002,-0.010644618
07/17/2002,0.01129696
07/18/2002,0.039207029
07/19/2002,-0.008111606
07/22/2002,0.01560854
07/23/2002,-0.021402221
07/24/2002,0.018444969
07/25/2002,-0.007713283
07/26/2002,-0.001770064
07/29/2002,0.042140778
07/30/2002,0.013072785
07/31/2002,0.003255875
08/01/2002,0.020066079
